property_id,location,latitude,longitude,sqft,BHK,buy_year,sell_year,buy_price,sell_price
176,Jayanagar,12.924426,77.589161,2213,5,2022,2023,24762363,26580780
177,Indiranagar,12.96868,77.650124,2758,1,2019,2024,33156149,44674877
178,Electronic City,12.846015,77.658754,3202,5,2017,2018,15067547,16861648
179,BTM,12.916903,77.611699,2495,5,2017,2021,16235631,20144655
180,Electronic City,12.849321,77.651099,1923,4,2019,2022,9495992,11012473
181,Jayanagar,12.926493,77.588391,2966,4,2021,2023,31375480,38381047
182,Electronic City,12.849564,77.668051,1595,3,2015,2020,6992194,10931715
183,Jayanagar,12.931202,77.602157,1937,1,2016,2017,20974991,22128065
184,Electronic City,12.844445,77.664653,1815,1,2021,2023,7785647,9754249
185,Whitefield,12.968166,77.751613,1051,5,2019,2020,6043376,6623153
186,BTM,12.914026,77.610633,3432,2,2018,2022,23220107,32102893
187,Jayanagar,12.920556,77.58704,3430,4,2019,2020,40360238,42530680
188,Whitefield,12.969907,77.758266,1095,5,2017,2019,5425156,6473892
189,Whitefield,12.975927,77.74461,1581,1,2018,2021,9180465,11625277
190,Whitefield,12.965417,77.743564,3364,4,2021,2025,16772365,24979859
191,Indiranagar,12.964013,77.632303,2398,1,2016,2018,28983248,33964285
192,BTM,12.922777,77.60612,3819,3,2015,2019,25051866,34597599
193,Indiranagar,12.969666,77.632044,3879,4,2017,2019,50540279,63132251
194,Hebbal,13.027651,77.605193,1727,1,2020,2025,12863306,16984700
195,Jayanagar,12.915049,77.587188,2046,3,2022,2027,22210010,36915162
196,Whitefield,12.974651,77.759148,1814,1,2016,2020,10436079,12874507
197,Indiranagar,12.974699,77.631531,1182,3,2016,2021,13104963,21658687
198,Jayanagar,12.927353,77.598068,3253,1,2017,2019,32277119,39856684
199,Jayanagar,12.922284,77.590341,1941,2,2019,2021,20065495,24978555
200,Whitefield,12.97354,77.750205,2709,1,2017,2019,13598733,15005688
201,Indiranagar,12.965678,77.649145,1107,3,2015,2018,13759566,18532692
202,Hebbal,13.029379,77.589055,1605,4,2016,2017,12554352,13731436
203,BTM,12.921135,77.611808,2722,2,2019,2022,19552884,25821541
204,Electronic City,12.836149,77.650421,1491,5,2018,2023,6718568,11485584
205,BTM,12.912185,77.603552,2154,2,2015,2018,14563664,19444320
206,BTM,12.90952,77.602054,2515,5,2020,2023,18849189,21958738
207,Indiranagar,12.964632,77.647295,3087,3,2015,2019,33466576,49579352
208,Whitefield,12.965342,77.755574,2495,2,2022,2027,12631259,19384735
209,Whitefield,12.965418,77.752309,3149,2,2020,2025,18482893,26801140
210,Indiranagar,12.963682,77.63337,2965,4,2017,2018,32109189,34679059
211,BTM,12.909088,77.618938,2476,3,2022,2027,17976668,30932219
212,Jayanagar,12.932424,77.587627,1823,2,2020,2023,21386349,28532051
213,Whitefield,12.977465,77.757744,3810,2,2016,2017,19485673,20749380
214,Indiranagar,12.96485,77.636355,3070,1,2017,2020,38374539,45139063
215,BTM,12.920941,77.603314,3080,5,2021,2026,22413028,31201472
216,BTM,12.922502,77.606737,2990,4,2022,2024,20549708,25082712
217,Whitefield,12.964161,77.754525,1388,1,2015,2020,8233673,13151815
218,Electronic City,12.853383,77.652268,1573,1,2016,2020,7688498,10269338
219,Indiranagar,12.972063,77.634943,1940,1,2015,2020,23692231,40459302
220,Whitefield,12.96041,77.754112,1405,3,2015,2018,8003645,9929113
221,Indiranagar,12.972904,77.636594,1634,4,2020,2023,19692543,24960085
222,Hebbal,13.034366,77.594229,3875,1,2016,2019,33980118,42057124
223,Whitefield,12.969699,77.746815,3215,3,2022,2024,18628526,21038822
224,Indiranagar,12.978412,77.640142,2999,1,2022,2026,35108454,42702765
225,Jayanagar,12.91839,77.595887,2585,5,2016,2018,27353651,33176193
226,Hebbal,13.028109,77.594673,1230,1,2016,2017,10489451,11647110
227,Jayanagar,12.932664,77.584189,874,5,2020,2025,10392995,13397261
228,Indiranagar,12.978801,77.650616,3850,4,2022,2023,50050527,54607558
229,BTM,12.912194,77.600945,3247,1,2021,2023,23423481,28485819
230,BTM,12.925432,77.60412,3033,3,2018,2021,22478449,30806646
231,Indiranagar,12.973415,77.644115,2629,4,2016,2019,32230286,38029096
232,BTM,12.91036,77.608112,3333,1,2021,2025,21220991,26825080
233,Indiranagar,12.963365,77.637264,2333,3,2017,2022,28287166,45877974
234,Hebbal,13.045316,77.595899,3161,1,2015,2017,23352674,27837925
235,Indiranagar,12.962668,77.641558,887,3,2022,2027,11168541,14570710
236,Hebbal,13.027492,77.596633,2454,2,2016,2020,21042604,25845027
237,Electronic City,12.842252,77.665054,1980,4,2020,2025,9529516,14376030
238,Indiranagar,12.98123,77.637797,2791,2,2020,2022,35282305,40175598
239,Jayanagar,12.925496,77.58437,2207,3,2018,2023,25100006,33311308
240,Indiranagar,12.963453,77.643613,2534,2,2015,2020,32645291,49117376
241,Jayanagar,12.927032,77.584975,975,5,2019,2022,10644628,12905808
242,Jayanagar,12.926482,77.585299,2615,4,2019,2021,27374595,32032289
243,Indiranagar,12.978923,77.632511,1803,3,2016,2018,19665478,22878786
244,Hebbal,13.025835,77.588039,2582,3,2019,2022,21508715,28551924
245,Hebbal,13.041359,77.596017,2166,2,2017,2019,16297749,19845833
246,Whitefield,12.974019,77.750379,3116,4,2018,2020,15768890,18756682
247,Indiranagar,12.96423,77.638105,1513,1,2018,2023,17001485,24662593
248,Electronic City,12.846075,77.668041,2458,3,2017,2022,11101077,15004701
249,Whitefield,12.969414,77.75392,2565,1,2015,2017,13822627,16541554
250,Hebbal,13.030158,77.588743,3072,1,2017,2021,25227372,35689936
251,Indiranagar,12.965387,77.650957,3240,4,2016,2020,42540560,55055220
252,Indiranagar,12.97351,77.635612,2450,1,2016,2017,28048214,29812780
253,BTM,12.925413,77.604923,2656,2,2017,2018,18033597,19920326
254,BTM,12.924039,77.617443,1443,1,2021,2025,9473915,11754563
255,Electronic City,12.839794,77.66988,3096,2,2019,2024,14835658,23955607
256,BTM,12.924975,77.602007,3688,1,2015,2019,26918904,37475404
257,Jayanagar,12.916626,77.589074,931,5,2021,2025,10050341,12733872
258,Whitefield,12.972745,77.740001,1399,2,2019,2022,8021641,10840437
259,BTM,12.924989,77.604922,2423,4,2020,2022,17882990,22406592
260,BTM,12.912999,77.611231,3737,5,2022,2027,28331997,36786802
261,Electronic City,12.843231,77.666534,3791,4,2017,2019,17179230,21048718
262,BTM,12.91183,77.618749,3703,4,2016,2019,28129903,38258631
263,Hebbal,13.044747,77.603191,1357,1,2022,2025,11257460,13479772
264,Indiranagar,12.966829,77.642485,1419,4,2019,2021,16636468,20408371
265,Indiranagar,12.966667,77.644634,1051,5,2021,2023,13030467,15501087
266,BTM,12.915033,77.607811,3199,1,2021,2026,23653133,39816202
267,BTM,12.907585,77.618021,3091,1,2019,2020,23320003,25667407
268,Hebbal,13.030174,77.596526,3560,5,2019,2021,26818318,33402239
269,Electronic City,12.850659,77.666304,1413,5,2019,2020,5993461,6463259
270,Hebbal,13.027594,77.604266,3415,3,2017,2022,25117689,34899445
271,Electronic City,12.83907,77.669928,3279,1,2015,2017,13940716,16892543
272,Whitefield,12.975971,77.757855,3064,5,2015,2017,15347136,17127875
273,Jayanagar,12.922801,77.584028,1654,2,2016,2019,18200782,24144563
274,Whitefield,12.973924,77.751606,1805,5,2022,2026,10452782,13388605
275,Indiranagar,12.964048,77.632219,3327,3,2018,2019,41212394,45243894
276,Whitefield,12.974368,77.740257,3530,2,2019,2023,17828369,23003593
277,Jayanagar,12.919753,77.59795,783,2,2015,2019,9222813,11893048
278,Electronic City,12.843305,77.664167,2946,5,2016,2017,14279729,15537338
279,Indiranagar,12.966302,77.639346,1654,1,2015,2018,19238703,23345193
280,Indiranagar,12.972841,77.63533,2911,3,2016,2021,33314032,45076186
281,Electronic City,12.840256,77.657051,2842,4,2020,2023,11805040,14268841
282,Electronic City,12.844725,77.653283,1969,3,2022,2025,9744758,13258405
283,Indiranagar,12.97808,77.643376,3247,5,2021,2023,41444484,51209904
284,Electronic City,12.849207,77.657595,1432,4,2019,2022,6068911,8003727
285,Whitefield,12.979316,77.746354,1549,2,2020,2025,8737919,14483831
286,Indiranagar,12.973629,77.64268,2169,4,2017,2019,24988997,30856057
287,Jayanagar,12.918196,77.600417,3605,1,2016,2017,38539500,41217033
288,Hebbal,13.04264,77.60035,1777,3,2015,2020,14823224,19642632
289,BTM,12.926597,77.60376,3984,5,2016,2021,25173685,36113813
290,Jayanagar,12.919764,77.601186,657,1,2020,2022,7229231,8351045
291,BTM,12.909374,77.613547,1087,2,2018,2023,7070691,9647786
292,BTM,12.921293,77.616538,3295,1,2017,2022,24667378,35758216
293,Whitefield,12.96666,77.75141,1905,1,2015,2017,9569591,11228105
294,Electronic City,12.842474,77.660278,3500,3,2021,2025,15167871,19665245
295,BTM,12.912309,77.613588,1634,1,2016,2018,11721094,14618434
296,Hebbal,13.035553,77.599974,2242,4,2018,2020,16614778,18427936
297,BTM,12.92184,77.611657,1911,1,2017,2018,13582615,14670975
298,Indiranagar,12.966686,77.649022,947,3,2020,2024,10581971,14394863
299,Jayanagar,12.928692,77.603516,3371,5,2016,2020,34441413,51263365
300,BTM,12.915799,77.61283,1013,3,2022,2023,7216281,7592293
301,Indiranagar,12.965775,77.635853,3713,5,2017,2018,43445929,47514868
302,Indiranagar,12.97241,77.637116,2975,5,2019,2022,38761017,52379464
303,Electronic City,12.84975,77.658851,3957,1,2016,2017,19383413,21688657
304,Jayanagar,12.925393,77.589199,2453,4,2019,2021,25876703,32397399
305,Electronic City,12.851352,77.658287,3119,4,2016,2018,14200390,15873352
306,Whitefield,12.971956,77.740295,3613,2,2016,2021,19669912,32386703
307,Jayanagar,12.929241,77.588986,3758,5,2016,2020,40028833,61136461
308,Jayanagar,12.915933,77.59261,3890,5,2019,2021,38782925,45881904
309,Whitefield,12.979728,77.74389,2325,1,2015,2020,12795096,18378757
310,Indiranagar,12.977574,77.640503,2331,1,2022,2023,27719225,29459312
311,Jayanagar,12.918164,77.592212,944,1,2017,2018,9375674,9921699
312,Whitefield,12.967762,77.744132,3656,5,2019,2022,19140909,26507078
313,Electronic City,12.840649,77.656509,2442,2,2019,2023,11162293,16497343
314,Electronic City,12.846238,77.655263,3474,1,2019,2021,15962563,18369243
315,Indiranagar,12.966488,77.635568,3642,4,2019,2023,46355913,64136713
316,Electronic City,12.84403,77.659965,3275,4,2015,2017,14608222,16747666
317,Whitefield,12.963078,77.749492,1130,1,2018,2021,6081619,7136394
318,Hebbal,13.044657,77.59214,2510,5,2020,2021,21980502,23444677
319,Electronic City,12.848593,77.667386,3080,4,2018,2019,14423132,15701687
320,Indiranagar,12.978801,77.648294,1806,5,2017,2020,22875836,30295678
321,Electronic City,12.836202,77.659737,2106,2,2022,2026,9496439,11895485
322,Whitefield,12.966346,77.750347,2511,4,2018,2021,12624115,16112101
323,Electronic City,12.844016,77.66398,3651,1,2015,2017,16092100,18193404
324,Electronic City,12.851507,77.657486,632,5,2017,2019,2628508,3102733
325,Jayanagar,12.91543,77.592339,2080,4,2015,2019,24843751,37944052
326,Hebbal,13.037418,77.59211,3227,5,2016,2019,27736098,37019803
327,Whitefield,12.960776,77.746797,1683,5,2016,2021,8350258,12816210
328,Jayanagar,12.928636,77.588439,3371,3,2015,2020,39378137,51695128
329,Electronic City,12.841282,77.651368,1743,2,2018,2020,7891657,9853160
330,Indiranagar,12.977803,77.650218,1337,4,2015,2020,15217387,25487706
331,Hebbal,13.02739,77.59436,2495,4,2020,2023,18726894,22012842
332,Electronic City,12.848061,77.666559,3202,3,2018,2023,13145454,17374607
333,Electronic City,12.846386,77.667131,3129,5,2020,2021,12679244,13868129
334,Jayanagar,12.915788,77.594997,3116,4,2018,2020,34835357,43062146
335,BTM,12.911129,77.601606,2645,2,2021,2025,19460227,29949402
336,Jayanagar,12.916443,77.600617,908,4,2021,2024,9474440,12101880
337,Indiranagar,12.979505,77.648924,2430,3,2017,2018,27887937,30459918
338,Jayanagar,12.924773,77.596183,660,5,2015,2019,7433994,9799341
339,Whitefield,12.966068,77.740368,1489,4,2015,2020,7605934,10604705
340,Indiranagar,12.967762,77.644113,963,2,2020,2025,11473775,18240314
341,Hebbal,13.031882,77.594711,922,5,2022,2026,7160287,10907492
342,Jayanagar,12.918338,77.601065,2494,3,2019,2021,28153436,34783398
343,Electronic City,12.844555,77.661522,1811,1,2015,2016,8133276,8846544
344,Electronic City,12.850122,77.666894,3678,1,2015,2020,16166350,25084738
345,BTM,12.91544,77.616722,3132,4,2021,2025,20210070,30210216
346,Electronic City,12.847326,77.661176,1408,5,2022,2025,6105085,7655995
347,Whitefield,12.964934,77.749111,3548,3,2019,2021,21418792,23809780
348,BTM,12.925506,77.617273,2903,5,2021,2023,19013925,21276216
349,BTM,12.919684,77.602307,1534,2,2019,2022,10006974,13879141
350,Whitefield,12.964808,77.758102,3700,4,2019,2024,21881557,35421532
351,Electronic City,12.842461,77.654391,2797,1,2015,2018,13153646,17068056
352,Indiranagar,12.980782,77.631821,3414,3,2018,2023,38346503,60580422
353,Indiranagar,12.974059,77.643805,2276,2,2020,2022,27446232,31537861
354,Whitefield,12.967842,77.753672,1773,3,2021,2022,9806476,10779544
355,Whitefield,12.968351,77.745279,3612,1,2015,2016,18152356,19358594
356,Whitefield,12.963385,77.754725,1071,4,2016,2018,6308088,7731136
357,Indiranagar,12.962466,77.646037,612,4,2022,2026,7814078,9935427
358,Indiranagar,12.968803,77.639909,1878,3,2020,2025,22176159,37720136
359,Hebbal,13.02718,77.602498,2340,2,2021,2026,17488532,24528234
360,Whitefield,12.972216,77.753903,1464,2,2018,2020,7928299,8917317
361,Jayanagar,12.915836,77.594721,3894,5,2018,2019,46798606,50326854
362,Hebbal,13.027601,77.602775,754,1,2022,2023,5777633,6109730
363,Hebbal,13.038027,77.59968,1452,4,2020,2023,11519449,13482929
364,Jayanagar,12.921154,77.58702,1435,3,2022,2025,14766482,17595567
365,Hebbal,13.040814,77.605534,2650,3,2016,2020,20128239,30970241
366,Indiranagar,12.968072,77.64206,2742,1,2017,2021,30409246,42484787
367,Jayanagar,12.930693,77.583943,1310,4,2017,2019,15543798,19109092
368,Indiranagar,12.964792,77.649064,1855,3,2015,2017,22270104,27521369
369,Jayanagar,12.933069,77.58865,3417,2,2018,2023,40126414,70647778
370,Electronic City,12.837807,77.659563,2231,4,2018,2019,9174998,10121647
371,Hebbal,13.039065,77.603947,776,4,2017,2018,5726501,6311868
372,BTM,12.921679,77.611007,2234,2,2021,2022,16113025,17351419
373,BTM,12.922106,77.611225,3435,1,2018,2022,21683727,32357291
374,Jayanagar,12.925678,77.592289,707,2,2017,2018,7423044,8036988
375,BTM,12.923279,77.609755,846,5,2015,2016,6001952,6635246
376,Electronic City,12.837186,77.656731,1548,5,2020,2024,7415049,10336228
